,證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),成交筆數(筆),流通在外股數(千股),本益比-TSE,股價淨值比-TSE,五日漲跌幅(%),label
0,2609 陽明,2019-01-02,8.81,9.0,8.77,8.81,1541,13649,454,2323024,0,1.03,,False
1,2609 陽明,2019-01-03,8.8,8.86,8.7,8.8,1397,12305,531,2323024,0,1.03,,False
2,2609 陽明,2019-01-04,8.76,8.76,8.53,8.6,2274,19546,817,2323024,0,1,,False
3,2609 陽明,2019-01-07,8.68,8.74,8.65,8.7,1045,9085,417,2323024,0,1.01,,False
4,2609 陽明,2019-01-08,8.73,8.81,8.73,8.8,1298,11405,577,2323024,0,1.03,-0.0011350737797956624,False
5,2609 陽明,2019-01-09,8.88,8.89,8.82,8.87,1529,13564,595,2323024,0,1.03,0.007954545454545284,False
6,2609 陽明,2019-01-10,8.87,8.89,8.82,8.86,1228,10880,431,2323024,0,1.03,0.03023255813953486,漲
7,2609 陽明,2019-01-11,8.82,8.93,8.82,8.87,1654,14704,631,2323024,0,1.03,0.019540229885057464,False
8,2609 陽明,2019-01-14,8.88,8.88,8.67,8.68,1476,12924,558,2323024,0,1.01,-0.013636363636363748,False
9,2609 陽明,2019-01-15,8.63,8.75,8.63,8.75,1388,12116,360,2323024,0,1.02,-0.013528748590755268,False
10,2609 陽明,2019-01-16,8.74,8.8,8.72,8.75,1301,11401,610,2323024,0,1.02,-0.01241534988713312,False
11,2609 陽明,2019-01-17,8.8,8.8,8.73,8.75,799,6999,430,2323024,0,1.02,-0.013528748590755268,False
12,2609 陽明,2019-01-18,8.76,8.84,8.76,8.81,1088,9592,638,2323024,0,1.03,0.014976958525345713,False
13,2609 陽明,2019-01-21,8.85,8.92,8.82,8.88,1628,14444,568,2323024,0,1.03,0.014857142857142947,False
14,2609 陽明,2019-01-22,8.86,8.9,8.85,8.89,894,7928,433,2323024,0,1.04,0.016000000000000066,False
15,2609 陽明,2019-01-23,8.88,8.89,8.83,8.89,854,7568,362,2323024,0,1.04,0.016000000000000066,False
16,2609 陽明,2019-01-24,8.9,8.95,8.9,8.95,1244,11114,522,2323024,0,1.04,0.015891032917139475,False
17,2609 陽明,2019-01-25,8.95,8.97,8.91,8.96,1230,11013,450,2323024,0,1.04,0.009009009009009016,False
18,2609 陽明,2019-01-28,8.97,9.03,8.95,8.99,1341,12061,465,2323024,0,1.05,0.01124859392575924,False
19,2609 陽明,2019-01-29,8.98,8.98,8.9,8.98,1185,10602,389,2323024,0,1.05,0.010123734533183335,False
20,2609 陽明,2019-01-30,8.98,8.98,8.9,8.94,1528,13652,313,2323024,0,1.04,-0.0011173184357541662,False
21,2609 陽明,2019-02-11,8.93,9.02,8.7,8.81,1509,13395,600,2323024,0,1.03,-0.016741071428571466,False
22,2609 陽明,2019-02-12,8.81,8.86,8.78,8.86,815,7185,381,2323024,0,1.03,-0.014460511679644135,False
23,2609 陽明,2019-02-13,8.86,8.89,8.81,8.83,870,7697,304,2323024,0,1.03,-0.016703786191536788,False
24,2609 陽明,2019-02-14,8.85,8.85,8.8,8.82,976,8610,322,2323024,0,1.03,-0.013422818791946222,False
25,2609 陽明,2019-02-15,8.85,8.86,8.81,8.82,1018,8996,297,2323024,0,1.03,0.0011350737797956624,False
26,2609 陽明,2019-02-18,8.82,8.88,8.82,8.86,1319,11675,354,2323024,0,1.03,0.0,False
27,2609 陽明,2019-02-19,8.86,8.9,8.83,8.86,841,7459,367,2323024,0,1.03,0.003397508493771162,False
28,2609 陽明,2019-02-20,8.86,8.87,8.82,8.85,878,7771,410,2323024,0,1.03,0.0034013605442176145,False
29,2609 陽明,2019-02-21,8.85,8.96,8.85,8.95,1983,17659,670,2323024,0,1.04,0.014739229024943198,False
30,2609 陽明,2019-02-22,8.95,9.03,8.91,8.95,5003,44880,832,2323024,0,1.04,0.010158013544018043,False
31,2609 陽明,2019-02-25,9.0,9.12,8.95,9.12,4410,40014,980,2323024,0,1.06,0.02934537246049659,False
32,2609 陽明,2019-02-26,9.12,9.26,9.12,9.19,3780,34761,949,2323024,0,1.07,0.038418079096045187,漲
33,2609 陽明,2019-02-27,9.21,9.25,9.17,9.23,3951,36403,1032,2323024,0,1.08,0.031284916201117445,漲
34,2609 陽明,2019-03-04,9.23,9.29,9.2,9.24,2086,19265,685,2323024,0,1.08,0.03240223463687161,漲
35,2609 陽明,2019-03-05,9.2,9.23,9.15,9.15,2058,18890,522,2323024,0,1.07,0.0032894736842106515,False
36,2609 陽明,2019-03-06,9.13,9.16,9.06,9.1,1268,11540,422,2323024,0,1.06,-0.009793253536452651,False
37,2609 陽明,2019-03-07,8.96,9.09,8.96,8.99,1117,10063,466,2323024,0,1.05,-0.02600216684723729,False
