,證券代碼,年月日,收盤價(元),單日漲跌幅(%),label
0,2609 陽明,2019-01-02,8.81,,跌
1,2609 陽明,2019-01-03,8.8,-0.0011350737797956624,跌
2,2609 陽明,2019-01-04,8.6,-0.022727272727272846,跌
3,2609 陽明,2019-01-07,8.7,0.011627906976744146,漲
4,2609 陽明,2019-01-08,8.8,0.011494252873563383,漲
5,2609 陽明,2019-01-09,8.87,0.007954545454545284,漲
6,2609 陽明,2019-01-10,8.86,-0.0011273957158962557,跌
7,2609 陽明,2019-01-11,8.87,0.0011286681715575381,漲
8,2609 陽明,2019-01-14,8.68,-0.02142051860202926,跌
9,2609 陽明,2019-01-15,8.75,0.00806451612903229,漲
10,2609 陽明,2019-01-16,8.75,0.0,跌
11,2609 陽明,2019-01-17,8.75,0.0,跌
12,2609 陽明,2019-01-18,8.81,0.006857142857142914,漲
13,2609 陽明,2019-01-21,8.88,0.007945516458569838,漲
14,2609 陽明,2019-01-22,8.89,0.001126126126126102,漲
15,2609 陽明,2019-01-23,8.89,0.0,跌
16,2609 陽明,2019-01-24,8.95,0.006749156355455424,漲
17,2609 陽明,2019-01-25,8.96,0.0011173184357543646,漲
18,2609 陽明,2019-01-28,8.99,0.003348214285714214,漲
19,2609 陽明,2019-01-29,8.98,-0.0011123470522802878,跌
20,2609 陽明,2019-01-30,8.94,-0.004454342984409903,跌
21,2609 陽明,2019-02-11,8.81,-0.014541387024608391,跌
22,2609 陽明,2019-02-12,8.86,0.005675368898978312,漲
23,2609 陽明,2019-02-13,8.83,-0.003386004514672614,跌
24,2609 陽明,2019-02-14,8.82,-0.001132502831257054,跌
25,2609 陽明,2019-02-15,8.82,0.0,跌
26,2609 陽明,2019-02-18,8.86,0.004535147392290152,漲
27,2609 陽明,2019-02-19,8.86,0.0,跌
28,2609 陽明,2019-02-20,8.85,-0.0011286681715575381,跌
29,2609 陽明,2019-02-21,8.95,0.011299435028248548,漲
30,2609 陽明,2019-02-22,8.95,0.0,跌
31,2609 陽明,2019-02-25,9.12,0.018994413407821223,漲
32,2609 陽明,2019-02-26,9.19,0.00767543859649126,漲
33,2609 陽明,2019-02-27,9.23,0.004352557127312397,漲
34,2609 陽明,2019-03-04,9.24,0.0010834236186348632,漲
35,2609 陽明,2019-03-05,9.15,-0.009740259740259724,跌
36,2609 陽明,2019-03-06,9.1,-0.005464480874317017,跌
37,2609 陽明,2019-03-07,8.99,-0.012087912087912026,跌
38,2609 陽明,2019-03-08,8.96,-0.003337041156840863,跌
39,2609 陽明,2019-03-11,8.97,0.0011160714285714047,漲
40,2609 陽明,2019-03-12,8.98,0.0011148272017836997,漲
41,2609 陽明,2019-03-13,8.92,-0.006681514476614754,跌
42,2609 陽明,2019-03-14,8.87,-0.005605381165919362,跌
43,2609 陽明,2019-03-15,8.8,-0.00789177001127379,跌
44,2609 陽明,2019-03-18,8.82,0.002272727272727224,漲
45,2609 陽明,2019-03-19,8.82,0.0,跌
46,2609 陽明,2019-03-20,8.83,0.001133786848072538,漲
47,2609 陽明,2019-03-21,8.83,0.0,跌
48,2609 陽明,2019-03-22,8.84,0.001132502831257054,漲
49,2609 陽明,2019-03-25,8.66,-0.020361990950226214,跌
50,2609 陽明,2019-03-26,8.63,-0.003464203233256277,跌
51,2609 陽明,2019-03-27,8.58,-0.005793742757821635,跌
52,2609 陽明,2019-03-28,8.61,0.003496503496503422,漲
53,2609 陽明,2019-03-29,8.65,0.0046457607433218265,漲
54,2609 陽明,2019-04-01,8.6,-0.005780346820809331,跌
55,2609 陽明,2019-04-02,8.61,0.0011627906976743939,漲
56,2609 陽明,2019-04-03,8.64,0.0034843205574914215,漲
57,2609 陽明,2019-04-08,8.7,0.006944444444444296,漲
58,2609 陽明,2019-04-09,8.68,-0.002298850574712595,跌
59,2609 陽明,2019-04-10,8.68,0.0,跌
60,2609 陽明,2019-04-11,8.75,0.00806451612903229,漲
61,2609 陽明,2019-04-12,8.73,-0.002285714285714237,跌
62,2609 陽明,2019-04-15,8.83,0.01145475372279492,漲
