,證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),成交筆數(筆),流通在外股數(千股),本益比-TSE,股價淨值比-TSE,五日漲跌幅(%),label
0,2603 長榮,2019-01-02,11.937,11.937,11.7389,11.7884,5111,61006,1474,4512973,0,0.8,,False
1,2603 長榮,2019-01-03,11.7884,11.8875,11.6894,11.7389,5048,60110,1513,4512973,0,0.8,,False
2,2603 長榮,2019-01-04,11.6894,11.6894,11.2931,11.4912,12347,143206,3365,4512973,0,0.78,,False
3,2603 長榮,2019-01-07,11.6894,11.838,11.5903,11.838,7842,92690,2848,4512973,0,0.8,,False
4,2603 長榮,2019-01-08,11.838,11.8875,11.7389,11.7389,4366,52066,1300,4512973,0,0.8,-0.004199043127141945,False
5,2603 長榮,2019-01-09,11.838,11.9866,11.838,11.937,9384,113058,2809,4512973,0,0.81,0.01687551644532283,False
6,2603 長榮,2019-01-10,11.937,11.937,11.7884,11.8875,3006,35976,1094,4512973,0,0.81,0.0344872598162072,漲
7,2603 長榮,2019-01-11,12.0361,12.0856,11.7884,11.838,6565,78927,1610,4512973,0,0.8,0.0,False
8,2603 長榮,2019-01-14,11.838,11.8875,11.6398,11.6398,5778,68364,1745,4512973,0,0.79,-0.008442017565529987,False
9,2603 長榮,2019-01-15,11.7389,11.9866,11.6894,11.9866,8569,102807,1974,4512973,0,0.81,0.004155147859596203,False
10,2603 長榮,2019-01-16,11.9866,11.9866,11.838,11.8875,6148,74032,1659,4512973,0,0.81,0.0,False
11,2603 長榮,2019-01-17,11.8875,11.937,11.7884,11.8875,4410,52828,978,4512973,0,0.81,0.004181449569183993,False
12,2603 長榮,2019-01-18,11.937,12.0361,11.8875,11.937,3535,42666,997,4512973,0,0.81,0.025533084760906558,False
13,2603 長榮,2019-01-21,12.0361,12.0361,11.937,11.937,4396,53202,1139,4512973,0,0.81,-0.00413795404868769,False
14,2603 長榮,2019-01-22,11.937,11.9866,11.8875,11.9866,3343,40318,1110,4512973,0,0.81,0.008336487907465823,False
15,2603 長榮,2019-01-23,11.937,11.937,11.7884,11.7884,3732,44653,1151,4512973,0,0.8,-0.008336487907465823,False
16,2603 長榮,2019-01-24,11.8875,11.937,11.838,11.8875,2575,30883,917,4512973,0,0.81,-0.004146770545363165,False
17,2603 長榮,2019-01-25,11.8875,11.9866,11.8875,11.937,3361,40501,1251,4512973,0,0.81,0.0,False
18,2603 長榮,2019-01-28,11.937,11.9866,11.8875,11.937,3776,45489,1192,4512973,0,0.81,-0.00413795404868769,False
19,2603 長榮,2019-01-29,11.8875,11.9866,11.8875,11.937,4764,57363,1333,4512973,0,0.81,0.012605612296834183,False
20,2603 長榮,2019-01-30,11.937,11.9866,11.838,11.838,6697,80400,1812,4512973,0,0.8,-0.004164037854889598,False
21,2603 長榮,2019-02-11,11.838,11.937,11.7884,11.838,8802,105354,2305,4512973,0,0.8,-0.00829354109072633,False
22,2603 長榮,2019-02-12,11.838,11.8875,11.7389,11.7884,7374,87909,2513,4512973,0,0.8,-0.012448688950322532,False
23,2603 長榮,2019-02-13,11.838,11.8875,11.6894,11.7389,7747,91725,2099,4512973,0,0.8,-0.016595459495685697,False
24,2603 長榮,2019-02-14,11.7389,11.8875,11.6894,11.7884,10820,128487,2477,4512973,0,0.8,-0.004189896942051011,False
25,2603 長榮,2019-02-15,11.838,11.8875,11.7389,11.7389,11646,138910,2854,4512973,0,0.8,-0.008371346511235004,False
26,2603 長榮,2019-02-18,11.7884,11.838,11.7389,11.7389,5582,66379,1860,4512973,0,0.8,-0.004199043127141945,False
27,2603 長榮,2019-02-19,11.7884,11.8875,11.7884,11.7884,6511,77602,1628,4512973,0,0.8,0.004216749439896422,False
28,2603 長榮,2019-02-20,11.838,11.8875,11.7884,11.8875,10351,123829,1717,4512973,0,0.81,0.008406569169692237,False
29,2603 長榮,2019-02-21,11.8875,12.1847,11.8875,12.1352,19105,232749,3628,4512973,0,0.82,0.03375955157638281,漲
30,2603 長榮,2019-02-22,12.0856,12.1352,11.9866,12.0361,8730,106076,2429,4512973,0,0.82,0.025317534010852818,False
31,2603 長榮,2019-02-25,12.0361,12.2342,12.0361,12.1352,15436,189612,4019,4512973,0,0.82,0.029418750636218658,False
32,2603 長榮,2019-02-26,12.1847,12.4819,12.1847,12.3828,19106,238380,3890,4512973,0,0.84,0.04166561514195586,漲
33,2603 長榮,2019-02-27,12.4323,12.5314,12.2837,12.3333,21696,271806,4511,4512973,0,0.84,0.01632441162898017,False
34,2603 長榮,2019-03-04,12.3333,12.4323,12.2342,12.2837,14652,182319,2394,4512973,0,0.83,0.02057144756191792,False
35,2603 長榮,2019-03-05,12.2342,12.2837,12.0361,12.0856,8709,106737,2147,4512973,0,0.82,-0.004087283275100523,False
36,2603 長榮,2019-03-06,12.0856,12.1847,12.0856,12.1352,4692,57458,1386,4512973,0,0.82,-0.01999547759795848,False
37,2603 長榮,2019-03-07,12.0856,12.1847,11.9866,12.0361,4274,52143,1100,4512973,0,0.82,-0.024097362425303862,False
38,2603 長榮,2019-03-08,12.0361,12.1352,11.9866,12.0361,6376,77691,1545,4512973,0,0.82,-0.02015679314864416,False
39,2603 長榮,2019-03-11,12.1352,12.1847,12.0361,12.0856,7202,88105,1500,4512973,0,0.82,0.0,False
40,2603 長榮,2019-03-12,12.1847,12.2342,12.1352,12.1847,5554,68281,1251,4512973,0,0.83,0.004079042784626549,False
41,2603 長榮,2019-03-13,12.1847,12.1847,12.0361,12.0856,4597,56164,1073,4512973,0,0.82,0.004112627844567601,False
42,2603 長榮,2019-03-14,12.0856,12.1352,11.937,11.937,8435,102189,1783,4512973,0,0.81,-0.008233564028215117,False
43,2603 長榮,2019-03-15,11.9866,12.0856,11.937,12.0856,10657,129579,1513,4512973,0,0.82,0.0,False
44,2603 長榮,2019-03-18,12.0856,12.0856,11.9866,12.0361,6307,76522,1330,4512973,0,0.82,-0.012195622378885001,False
45,2603 長榮,2019-03-19,12.0361,12.0856,11.9866,12.0361,4480,54395,1336,4512973,0,0.82,-0.004095783411663475,False
46,2603 長榮,2019-03-20,12.0361,12.1352,11.9866,12.0361,6936,84387,1653,4512973,0,0.82,0.008301918404959368,False
47,2603 長榮,2019-03-21,12.0361,12.0856,12.0361,12.0361,5181,63017,1233,4512973,0,0.82,-0.004095783411663475,False
48,2603 長榮,2019-03-22,12.0361,12.1352,12.0361,12.1352,7058,86185,1414,4512973,0,0.82,0.008233564028215117,False
49,2603 長榮,2019-03-25,11.9866,11.9866,11.7884,11.7884,16678,199769,2950,4512973,170,0.8,-0.020579755900997834,False
50,2603 長榮,2019-03-26,11.8875,11.8875,11.6398,11.7389,17682,209518,3713,4512973,169.29,0.8,-0.024692383745565438,False
51,2603 長榮,2019-03-27,11.7389,11.7389,11.5408,11.5903,11660,136811,2655,4512973,167.14,0.79,-0.037038575618348155,跌
52,2603 長榮,2019-03-28,11.5903,11.6894,11.4912,11.5903,7271,84916,2203,4512973,167.14,0.79,-0.044902432592787936,跌
53,2603 長榮,2019-03-29,11.6398,11.838,11.5903,11.838,12545,148798,3144,4512973,170.71,0.81,0.004207526042550293,False
54,2603 長榮,2019-04-01,11.838,11.8875,11.6894,11.7389,8934,106053,2359,4512973,169.29,0.8,0.0,False
55,2603 長榮,2019-04-02,11.7884,11.838,11.7389,11.7884,6063,72226,1644,4512973,170,0.8,0.01709187855361813,False
56,2603 長榮,2019-04-03,11.8875,11.8875,11.7884,11.8875,8491,101587,2012,4512973,171.43,0.81,0.025642131782611335,False
57,2603 長榮,2019-04-08,11.8875,11.9866,11.8875,11.937,9454,113938,2095,4512973,172.14,0.81,0.008362899138367985,False
58,2603 長榮,2019-04-09,11.937,11.937,11.8875,11.937,5047,60678,1268,4512973,172.14,0.81,0.01687551644532283,False
59,2603 長榮,2019-04-10,11.8875,11.937,11.8875,11.937,4681,56271,1628,4512973,172.14,0.81,0.012605612296834183,False
60,2603 長榮,2019-04-11,11.937,12.1847,11.937,12.0856,10465,127706,2253,4512973,174.29,0.82,0.01666456361724502,False
61,2603 長榮,2019-04-12,12.0856,12.1352,12.0361,12.0856,7388,90135,2306,4512973,174.29,0.82,0.012448688950322532,False
62,2603 長榮,2019-04-15,12.1847,12.5809,12.1352,12.4819,35794,448745,6222,4512973,180,0.85,0.04564798525592697,漲
63,2603 長榮,2019-04-16,12.5809,12.68,12.4819,12.5314,19332,245316,6924,4512973,180.71,0.85,0.04979475580129013,漲
64,2603 長榮,2019-04-17,12.5809,12.6305,12.4819,12.5809,16737,212538,5348,4512973,181.43,0.86,0.04098265704640235,漲
65,2603 長榮,2019-04-18,12.5809,12.68,12.3333,12.4819,18303,231276,4755,4512973,180,0.85,0.03279109022307541,漲
66,2603 長榮,2019-04-19,12.5809,12.8781,12.5314,12.8286,28387,365779,6347,4512973,185,0.87,0.02777621996651153,False
67,2603 長榮,2019-04-22,12.9772,13.4725,12.9277,13.1753,31494,421236,7977,4512973,190,0.9,0.0513829260896628,漲
68,2603 長榮,2019-04-23,13.1753,13.3239,12.9277,13.3239,18412,243575,4668,4512973,192.14,0.91,0.05905777806039316,漲
69,2603 長榮,2019-04-24,13.3734,13.4725,13.0267,13.0762,14775,197530,3347,4512973,188.57,0.89,0.047612943542249216,漲
70,2603 長榮,2019-04-25,13.0762,13.3239,13.0762,13.2744,12426,165520,2483,4512973,191.43,0.9,0.03475047939759601,漲
71,2603 長榮,2019-04-26,13.2248,13.2248,13.0267,13.1753,7486,99022,1755,4512973,190,0.9,0.0,False
72,2603 長榮,2019-04-29,13.2248,13.3239,13.1258,13.2744,10042,134192,2161,4512973,191.43,0.9,-0.003715128453380774,False
73,2603 長榮,2019-04-30,13.3734,13.4725,13.2744,13.423,12933,174512,2977,4512973,193.57,0.91,0.026521466481087778,False
74,2603 長榮,2019-05-02,13.4725,13.6211,13.423,13.6211,18630,255025,4181,4512973,196.43,0.93,0.026117941300548442,False
75,2603 長榮,2019-05-03,13.6211,13.6706,13.423,13.5716,13710,187150,3192,4512973,195.71,0.93,0.03007901148360949,漲
76,2603 長榮,2019-05-06,13.2248,13.2248,12.7791,12.9277,31458,411507,6621,4512973,186.43,0.88,-0.026117941300548442,False
77,2603 長榮,2019-05-07,13.0267,13.0762,12.8781,12.8781,19706,257684,3587,4512973,185.71,0.88,-0.04059450197422336,跌
78,2603 長榮,2019-05-08,12.6305,12.9277,12.4819,12.8286,14799,189466,4256,4512973,185,0.87,-0.05818179148526921,跌
79,2603 長榮,2019-05-09,12.7295,12.7791,12.4323,12.4819,16030,203137,4145,4512973,180,0.85,-0.08029266998732652,跌
80,2603 長榮,2019-05-10,12.4323,12.6305,12.2837,12.3828,17892,224390,3669,4512973,178.57,0.84,-0.04214980236236919,跌
